Episodes,Title,Writers,Directors,Rating,Num_Votes,Dwight_positive_score,Dwight_neutral_score,Dwight_negative_score,Dwight_compound_score,Jim_positive_score,Jim_neutral_score,Jim_negative_score,Jim_compound_score,Pam_positive_score,Pam_neutral_score,Pam_negative_score,Pam_compound_score,Kevin_positive_score,Kevin_neutral_score,Kevin_negative_score,Kevin_compound_score,Angela_positive_score,Angela_neutral_score,Angela_negative_score,Angela_compound_score,Stanley_positive_score,Stanley_neutral_score,Stanley_negative_score,Stanley_compound_score,Phyllis_positive_score,Phyllis_neutral_score,Phyllis_negative_score,Phyllis_compound_score,Oscar_positive_score,Oscar_neutral_score,Oscar_negative_score,Oscar_compound_score,Andy_positive_score,Andy_neutral_score,Andy_negative_score,Andy_compound_score,Ryan_positive_score,Ryan_neutral_score,Ryan_negative_score,Ryan_compound_score,Kelly_positive_score,Kelly_neutral_score,Kelly_negative_score,Kelly_compound_score,Meredith_positive_score,Meredith_neutral_score,Meredith_negative_score,Meredith_compound_score,Michael_positive_score,Michael_neutral_score,Michael_negative_score,Michael_compound_score,Creed_positive_score,Creed_neutral_score,Creed_negative_score,Creed_compound_score,Toby_positive_score,Toby_neutral_score,Toby_negative_score,Toby_compound_score,Darryl_positive_score,Darryl_neutral_score,Darryl_negative_score,Darryl_compound_score,Erin_positive_score,Erin_neutral_score,Erin_negative_score,Erin_compound_score
Episode 1,Pilot,"Greg Daniels, Ricky Gervais, and Stephen Merchant", Ken Kwapis  ,7.5,6018,0.137,0.825,0.038,0.9767,0.155,0.787,0.058,0.9822,0.167,0.775,0.058,0.9694,0.423,0.577,0.0,0.296,0.0,1.0,0.0,0.0,0.237,0.763,0.0,0.6072,0.0,1.0,0.0,0.0,0.278,0.722,0.0,0.6597,0.0,0.0,0.0,0.0,0.07,0.93,0.0,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.728,0.084,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 2,Diversity Day,B.J. Novak, Ken Kwapis  ,8.3,5890,0.218,0.694,0.088,0.9636,0.16,0.784,0.056,0.9896,0.255,0.745,0.0,0.9246,0.105,0.736,0.158,-0.4871,0.0,1.0,0.0,0.0,0.332,0.668,0.0,0.8385,0.0,0.0,0.0,0.0,0.146,0.854,0.0,0.8273,0.0,0.0,0.0,0.0,0.179,0.821,0.0,0.7096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.727,0.067,0.9997,0.0,0.0,0.0,0.0,0.0,0.902,0.098,-0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 3,Health Care,Paul Lieberstein, Ken Whittingham  ,7.8,4939,0.182,0.721,0.097,0.9953,0.219,0.692,0.089,0.9917,0.074,0.798,0.128,-0.8452,0.0,1.0,0.0,0.0,0.083,0.792,0.125,-0.2621,0.226,0.693,0.081,0.644,0.0,0.0,0.0,0.0,0.24,0.73,0.03,0.8681,0.0,0.0,0.0,0.0,0.362,0.638,0.0,0.5267,0.0,0.0,0.0,0.0,0.142,0.858,0.0,0.4515,0.159,0.802,0.039,0.9984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 4,The Alliance,Michael Schur, Bryan Gordon  ,8.0,4800,0.188,0.749,0.064,0.9959,0.154,0.793,0.054,0.9962,0.225,0.758,0.017,0.9939,0.39,0.61,0.0,0.4927,0.159,0.691,0.15,0.3339,0.0,1.0,0.0,0.0,0.042,0.747,0.21,-0.8081,0.208,0.753,0.039,0.9447,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.716,0.052,0.9642,0.199,0.731,0.07,0.9996,0.0,0.0,0.0,0.0,0.371,0.629,0.0,0.8504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 5,Basketball,Greg Daniels, Greg Daniels  ,8.4,5296,0.166,0.815,0.018,0.9485,0.189,0.781,0.03,0.9802,0.171,0.789,0.04,0.9388,0.0,1.0,0.0,0.0,0.131,0.869,0.0,0.4871,0.0,0.876,0.124,-0.212,0.469,0.531,0.0,0.8625,0.278,0.722,0.0,0.4019,0.0,0.0,0.0,0.0,0.203,0.729,0.068,0.5775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.771,0.065,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.779,0.118,-0.3867,0.0,0.0,0.0,0.0
Episode 6,Hot Girl,Mindy Kaling, Amy Heckerling  ,7.7,4730,0.206,0.78,0.014,0.9856,0.201,0.752,0.047,0.997,0.2,0.754,0.046,0.9861,0.131,0.716,0.154,-0.1414,0.106,0.894,0.0,0.3612,0.487,0.513,0.0,0.765,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.797,0.0,0.8385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.802,0.037,0.9994,0.0,0.0,0.0,0.0,0.217,0.783,0.0,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 7,The Dundies,Mindy Kaling, Greg Daniels      ,8.7,5332,0.18,0.797,0.023,0.989,0.222,0.754,0.024,0.9887,0.196,0.738,0.067,0.9882,0.0,1.0,0.0,0.0,0.0,0.312,0.688,-0.296,0.141,0.859,0.0,0.8658,0.045,0.833,0.122,-0.587,0.429,0.571,0.0,0.9703,0.0,0.0,0.0,0.0,0.149,0.851,0.0,0.594,0.125,0.814,0.062,0.3067,0.0,0.0,0.0,0.0,0.185,0.776,0.039,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.307,-0.4767,0.0,0.0,0.0,0.0
Episode 8,Sexual Harassment,B.J. Novak, Ken Kwapis      ,8.2,4521,0.267,0.733,0.0,0.933,0.192,0.741,0.067,0.9727,0.148,0.79,0.062,0.8252,0.124,0.876,0.0,0.372,0.129,0.56,0.31,-0.6369,0.0,1.0,0.0,0.0,0.0,0.886,0.114,-0.5919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.685,0.0,0.3182,0.0,0.0,0.0,0.0,0.545,0.455,0.0,0.5574,0.162,0.778,0.06,0.9993,0.0,0.0,0.0,0.0,0.075,0.826,0.099,-0.7154,0.207,0.695,0.098,0.9105,0.0,0.0,0.0,0.0
Episode 9,Office Olympics,Michael Schur, Paul Feig  ,8.4,4496,0.163,0.791,0.046,0.9948,0.165,0.824,0.011,0.9957,0.175,0.795,0.03,0.9668,0.123,0.652,0.225,-0.6239,0.159,0.841,0.0,0.7351,0.1,0.844,0.056,0.2714,0.0,1.0,0.0,0.0,0.151,0.758,0.09,0.2695,0.0,0.0,0.0,0.0,0.106,0.894,0.0,0.7617,0.0,0.0,0.0,0.0,0.804,0.196,0.0,0.6239,0.206,0.743,0.051,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 10,The Fire,B.J. Novak, Ken Kwapis        ,8.3,4445,0.146,0.759,0.095,0.9828,0.161,0.828,0.011,0.9954,0.217,0.754,0.029,0.9895,0.089,0.659,0.251,-0.533,0.149,0.808,0.043,0.8002,0.0,1.0,0.0,0.0,0.122,0.878,0.0,0.3612,0.104,0.664,0.232,-0.4767,0.0,0.0,0.0,0.0,0.116,0.85,0.034,0.9335,0.417,0.583,0.0,0.7835,0.045,0.894,0.061,-0.1154,0.187,0.754,0.058,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 11,Halloween,Greg Daniels, Paul Feig  ,8.1,4159,0.17,0.758,0.071,0.9891,0.156,0.792,0.051,0.9928,0.154,0.79,0.056,0.9696,0.0,1.0,0.0,0.0,0.055,0.945,0.0,0.4574,0.0,0.714,0.286,-0.5574,0.275,0.522,0.203,0.3076,0.488,0.512,0.0,0.8604,0.0,0.0,0.0,0.0,0.298,0.526,0.175,0.34,0.281,0.719,0.0,0.8295,0.0,0.0,0.0,0.0,0.169,0.756,0.075,0.9983,0.146,0.659,0.195,-0.8097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 12,The Fight,Gene Stupnitsky and Lee Eisenberg, Ken Kwapis      ,8.1,4168,0.103,0.757,0.14,-0.951,0.179,0.746,0.074,0.9906,0.094,0.906,0.0,0.951,0.0,1.0,0.0,0.0,0.0,0.738,0.262,-0.6818,0.257,0.743,0.0,0.5423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.761,0.131,-0.3527,0.578,0.422,0.0,0.8622,0.0,0.0,0.0,0.0,0.172,0.735,0.093,0.9979,0.0,0.0,0.0,0.0,0.111,0.889,0.0,0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 13,The Client,Paul Lieberstein, Greg Daniels      ,8.6,4365,0.135,0.8,0.065,0.914,0.121,0.833,0.046,0.9861,0.169,0.813,0.018,0.989,0.0,0.833,0.167,-0.1531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.826,0.0,0.6369,0.109,0.891,0.0,0.5106,0.0,0.0,0.0,0.0,0.143,0.757,0.099,0.4329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.806,0.056,0.9975,0.0,0.0,0.0,0.0,0.474,0.526,0.0,0.2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 14,Performance Review,Larry Wilmore, Paul Feig      ,8.2,3969,0.181,0.757,0.061,0.9945,0.061,0.894,0.045,0.726,0.108,0.836,0.057,0.8574,0.0,1.0,0.0,0.0,0.234,0.703,0.063,0.8999,0.208,0.792,0.0,0.8126,0.0,1.0,0.0,0.0,0.0,0.732,0.268,-0.296,0.0,0.0,0.0,0.0,0.0,0.633,0.367,-0.4404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.727,0.081,0.9995,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 15,E-Mail Surveillance,Jennifer Celotta, Paul Feig      ,8.4,4086,0.182,0.793,0.025,0.9901,0.173,0.807,0.02,0.9958,0.126,0.808,0.066,0.9319,0.201,0.799,0.0,0.8956,0.093,0.851,0.057,0.1007,0.13,0.87,0.0,0.2732,0.107,0.832,0.062,0.4389,0.059,0.941,0.0,0.3094,0.0,0.0,0.0,0.0,0.204,0.796,0.0,0.3736,0.124,0.806,0.07,0.25,0.0,0.0,0.0,0.0,0.166,0.772,0.062,0.9993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 16,Christmas Party,Michael Schur, Charles McDougall      ,8.9,4531,0.119,0.844,0.037,0.9513,0.244,0.719,0.037,0.9974,0.109,0.799,0.092,-0.7057,0.107,0.842,0.051,0.4515,0.167,0.792,0.041,0.7691,0.205,0.795,0.0,0.6597,0.176,0.786,0.038,0.6966,0.088,0.872,0.04,0.5661,0.0,0.0,0.0,0.0,0.113,0.818,0.069,0.4329,0.199,0.716,0.085,0.5106,0.129,0.871,0.0,0.6361,0.226,0.702,0.072,0.9995,0.0,1.0,0.0,0.0,0.097,0.855,0.048,0.4019,0.222,0.778,0.0,0.8924,0.0,0.0,0.0,0.0
Episode 17,Booze Cruise,Greg Daniels, Ken Kwapis    ,8.6,4352,0.125,0.857,0.018,0.9619,0.173,0.801,0.026,0.9833,0.187,0.803,0.01,0.9636,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.896,0.104,-0.4211,0.0,0.783,0.217,-0.6641,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.909,0.0,0.2263,0.113,0.887,0.0,0.3736,0.0,1.0,0.0,0.0,0.211,0.739,0.05,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 18,The Injury,Mindy Kaling, Bryan Gordon  ,9.1,5270,0.134,0.822,0.045,0.9658,0.105,0.815,0.08,0.8598,0.219,0.741,0.04,0.993,0.0,1.0,0.0,0.0,0.0,0.786,0.214,-0.7177,0.0,1.0,0.0,0.0,0.208,0.792,0.0,0.6369,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.902,0.0,0.7256,0.239,0.761,0.0,0.296,0.0,1.0,0.0,0.0,0.197,0.709,0.093,0.9994,0.0,1.0,0.0,0.0,0.129,0.871,0.0,0.6848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 19,The Secret,Lee Eisenberg and Gene Stupnitsky, Dennie Gordon      ,8.3,3872,0.089,0.819,0.092,-0.6654,0.162,0.787,0.051,0.9911,0.171,0.775,0.054,0.9169,0.0,0.871,0.129,-0.6662,0.098,0.784,0.118,-0.128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.788,0.079,0.2824,0.0,0.0,0.0,0.0,0.107,0.765,0.128,0.2773,0.186,0.727,0.087,0.6698,0.0,0.0,0.0,0.0,0.208,0.724,0.068,0.9994,0.0,1.0,0.0,0.0,0.261,0.739,0.0,0.6115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 20,The Carpet,Paul Lieberstein," Victor Nelli, Jr.       ",7.8,3827,0.129,0.836,0.035,0.8377,0.136,0.833,0.031,0.9708,0.052,0.843,0.105,-0.9519,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.129,0.612,0.259,-0.6808,0.0,1.0,0.0,0.0,0.049,0.888,0.063,-0.1154,0.0,0.0,0.0,0.0,0.134,0.866,0.0,0.9013,0.226,0.702,0.071,0.9799,0.0,0.0,0.0,0.0,0.15,0.786,0.064,0.9978,0.049,0.871,0.08,-0.3527,0.0,1.0,0.0,0.0,0.234,0.766,0.0,0.4696,0.0,0.0,0.0,0.0
Episode 21,Boys and Girls,B.J. Novak, Dennie Gordon       ,8.1,3799,0.116,0.736,0.148,-0.4912,0.209,0.772,0.019,0.9513,0.246,0.74,0.014,0.9979,0.068,0.812,0.12,-0.34,0.12,0.832,0.048,0.5775,0.263,0.737,0.0,0.3612,0.195,0.771,0.034,0.8555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.159,0.727,0.114,-0.2573,0.228,0.772,0.0,0.7506,0.212,0.736,0.052,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.818,0.081,0.6188,0.0,0.0,0.0,0.0
Episode 22,Valentine's Day,Michael Schur, Greg Daniels      ,8.3,3818,0.243,0.737,0.02,0.994,0.254,0.69,0.055,0.9922,0.251,0.716,0.033,0.9884,0.0,1.0,0.0,0.0,0.35,0.65,0.0,0.8966,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.4588,0.415,0.585,0.0,0.7964,0.0,0.0,0.0,0.0,0.287,0.713,0.0,0.6408,0.221,0.717,0.062,0.981,0.577,0.423,0.0,0.9565,0.211,0.739,0.05,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 23,Dwight's Speech,Paul Lieberstein, Charles McDougall  ,8.5,4039,0.142,0.778,0.08,0.9869,0.23,0.753,0.017,0.9975,0.18,0.749,0.071,0.9592,0.097,0.775,0.128,-0.2023,0.258,0.742,0.0,0.8271,0.18,0.82,0.0,0.644,0.13,0.87,0.0,0.2714,0.136,0.777,0.087,0.1531,0.0,0.0,0.0,0.0,0.144,0.856,0.0,0.8299,0.291,0.709,0.0,0.9392,0.0,0.0,0.0,0.0,0.173,0.776,0.051,0.9989,0.276,0.724,0.0,0.7901,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 24,Take Your Daughter to Work Day,Mindy Kaling, Victor Nelli Jr.  ,8.3,3936,0.125,0.789,0.086,0.8285,0.264,0.719,0.017,0.99,0.149,0.801,0.05,0.9444,0.172,0.828,0.0,0.8271,0.163,0.742,0.095,0.507,0.15,0.792,0.058,0.7922,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.783,0.057,0.6996,0.275,0.664,0.062,0.8883,0.139,0.709,0.152,0.1531,0.212,0.723,0.064,0.9995,0.0,1.0,0.0,0.0,0.091,0.909,0.0,0.5256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 25,Michael's Birthday,Gene Stupnitsky and Lee Eisenberg, Ken Whittingham  ,8.1,3806,0.137,0.828,0.035,0.9814,0.181,0.796,0.023,0.97,0.207,0.734,0.059,0.977,0.233,0.719,0.048,0.9427,0.172,0.696,0.132,0.4871,0.27,0.73,0.0,0.6199,0.0,1.0,0.0,0.0,0.232,0.61,0.158,0.264,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.157,0.561,0.282,-0.8811,0.0,1.0,0.0,0.0,0.196,0.731,0.073,0.999,0.0,0.0,0.0,0.0,0.202,0.727,0.071,0.8561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 26,Drug Testing,Jennifer Celotta, Greg Daniels  ,8.4,3883,0.152,0.749,0.1,0.9862,0.123,0.793,0.084,0.8148,0.175,0.734,0.092,0.8904,0.397,0.603,0.0,0.7845,0.067,0.933,0.0,0.0772,0.0,1.0,0.0,0.0,0.231,0.769,0.0,0.4019,0.362,0.591,0.046,0.932,0.0,0.0,0.0,0.0,0.161,0.808,0.031,0.6966,0.202,0.748,0.05,0.9451,0.0,0.0,0.0,0.0,0.161,0.756,0.083,0.994,0.0,1.0,0.0,0.0,0.064,0.844,0.092,-0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 27,Conflict Resolution,Greg Daniels, Charles McDougall  ,8.7,3979,0.12,0.832,0.048,0.9668,0.096,0.885,0.018,0.9318,0.2,0.701,0.099,0.9553,0.143,0.857,0.0,0.4889,0.22,0.767,0.013,0.9442,0.0,1.0,0.0,0.0,0.224,0.776,0.0,0.9186,0.053,0.699,0.247,-0.9791,0.0,0.0,0.0,0.0,0.122,0.878,0.0,0.3612,0.228,0.66,0.112,0.3182,0.0,0.0,0.0,0.0,0.115,0.801,0.084,0.9859,0.144,0.722,0.133,-0.1406,0.111,0.828,0.061,0.7878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 28,Casino Night,Steve Carell, Ken Kwapis  ,9.4,5782,0.132,0.821,0.047,0.9754,0.182,0.739,0.078,0.9929,0.214,0.733,0.052,0.9949,0.18,0.82,0.0,0.9535,0.33,0.67,0.0,0.9226,0.0,1.0,0.0,0.0,0.268,0.732,0.0,0.8841,0.135,0.865,0.0,0.4215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.118,0.882,0.0,0.34,0.792,0.208,0.0,0.5859,0.208,0.756,0.036,0.9995,0.227,0.662,0.11,0.886,0.154,0.807,0.039,0.799,0.109,0.891,0.0,0.787,0.0,0.0,0.0,0.0
Episode 29,Gay Witch Hunt,Greg Daniels, Ken Kwapis        ,9.0,5081,0.129,0.785,0.086,0.7891,0.144,0.793,0.064,0.9244,0.032,0.955,0.013,0.4102,0.506,0.494,0.0,0.6249,0.115,0.784,0.101,-0.2714,0.108,0.892,0.0,0.5267,0.0,1.0,0.0,0.0,0.136,0.788,0.077,0.8973,0.138,0.782,0.08,0.9065,0.045,0.955,0.0,0.296,0.197,0.599,0.205,-0.024,0.0,1.0,0.0,0.0,0.187,0.767,0.046,0.9994,0.123,0.819,0.058,0.4939,0.242,0.731,0.028,0.9623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 30,The Convention,Gene Stupnitsky and Lee Eisenberg, Ken Whittingham      ,8.2,3724,0.131,0.824,0.045,0.9481,0.149,0.792,0.059,0.9754,0.203,0.757,0.04,0.985,0.153,0.847,0.0,0.4019,0.135,0.824,0.041,0.8238,0.0,1.0,0.0,0.0,0.215,0.785,0.0,0.4767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.774,0.0,0.7845,0.259,0.725,0.017,0.971,0.294,0.706,0.0,0.3612,0.157,0.805,0.039,0.9989,0.0,0.872,0.128,-0.5859,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 31,The Coup,Paul Lieberstein, Greg Daniels      ,8.5,3901,0.157,0.759,0.084,0.9949,0.119,0.725,0.156,-0.8427,0.087,0.886,0.027,0.8429,0.271,0.602,0.127,0.7339,0.086,0.787,0.127,-0.5962,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.77,0.199,-0.9023,0.44,0.56,0.0,0.6705,0.12,0.848,0.032,0.7922,0.0,0.0,0.0,0.0,0.154,0.769,0.077,0.9945,0.106,0.894,0.0,0.5994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 32,Grief Counseling,Jennifer Celotta, Roger Nygard  ,8.0,3734,0.138,0.749,0.113,0.5466,0.13,0.846,0.024,0.9555,0.214,0.661,0.124,0.9916,0.258,0.684,0.058,0.946,0.0,0.834,0.166,-0.68,0.074,0.821,0.106,-0.2052,0.181,0.625,0.194,-0.0516,0.0,0.0,0.0,0.0,0.041,0.827,0.132,-0.593,0.137,0.815,0.048,0.8561,0.0,0.895,0.105,-0.5255,0.0,1.0,0.0,0.0,0.123,0.741,0.136,-0.9908,0.0,0.863,0.137,-0.7219,0.106,0.771,0.123,-0.5514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 33,Initiation,B.J. Novak, Randall Einhorn      ,8.1,3640,0.125,0.759,0.116,0.8293,0.186,0.705,0.11,0.985,0.107,0.857,0.036,0.9743,0.0,0.818,0.182,-0.5178,0.228,0.57,0.202,0.1511,0.111,0.889,0.0,0.8439,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.756,0.086,0.6738,0.143,0.818,0.039,0.9926,0.117,0.796,0.088,0.1179,0.0,0.0,0.0,0.0,0.137,0.83,0.033,0.9919,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 34,Diwali,Mindy Kaling, Miguel Arteta  ,7.9,3799,0.058,0.745,0.197,-0.9157,0.071,0.905,0.024,0.5495,0.129,0.758,0.112,0.3698,0.208,0.792,0.0,0.9581,0.109,0.847,0.044,0.5803,0.481,0.519,0.0,0.5719,0.317,0.683,0.0,0.8105,0.0,0.0,0.0,0.0,0.201,0.756,0.043,0.9809,0.14,0.838,0.022,0.782,0.165,0.762,0.073,0.9435,0.075,0.925,0.0,0.0772,0.253,0.685,0.063,0.9998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 35,Branch Closing,Michael Schur, Tucker Gates      ,8.6,3734,0.115,0.817,0.068,0.8898,0.07,0.871,0.059,0.4477,0.117,0.798,0.085,0.7933,0.19,0.719,0.091,0.7907,0.093,0.842,0.065,-0.3883,0.243,0.757,0.0,0.7951,0.0,0.96,0.04,-0.2942,0.0,0.0,0.0,0.0,0.112,0.888,0.0,0.6628,0.223,0.763,0.014,0.9723,0.316,0.586,0.098,0.8854,0.0,0.0,0.0,0.0,0.124,0.768,0.109,-0.7774,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.107,0.842,0.051,0.3976,0.0,0.0,0.0,0.0
Episode 36,The Merger,Brent Forrester, Ken Whittingham      ,8.7,3895,0.156,0.755,0.089,0.9929,0.142,0.791,0.067,0.9879,0.137,0.837,0.026,0.9823,0.223,0.748,0.028,0.983,0.278,0.722,0.0,0.7717,0.0,0.874,0.126,-0.6808,0.067,0.933,0.0,0.5007,0.0,0.0,0.0,0.0,0.209,0.725,0.066,0.995,0.203,0.731,0.066,0.8764,0.223,0.777,0.0,0.9123,0.289,0.626,0.085,0.8929,0.169,0.744,0.087,0.9991,0.0,1.0,0.0,0.0,0.185,0.753,0.062,0.8873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 37,The Convict,Ricky Gervais and Stephen Merchant, Jeffrey Blitz      ,8.3,3897,0.256,0.625,0.119,0.765,0.121,0.81,0.069,0.7584,0.239,0.637,0.123,0.9313,0.035,0.746,0.219,-0.9328,0.214,0.708,0.078,0.8738,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.795,0.061,0.9447,0.169,0.588,0.243,-0.25,0.0,0.0,0.0,0.0,0.455,0.545,0.0,0.3612,0.161,0.709,0.13,0.9801,0.302,0.698,0.0,0.7677,0.144,0.778,0.078,0.7236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 38,A Benihana Christmas,Jennifer Celotta, Harold Ramis      ,8.8,4112,0.123,0.79,0.087,0.9619,0.212,0.712,0.075,0.996,0.223,0.762,0.015,0.9969,0.216,0.746,0.037,0.9661,0.178,0.736,0.086,0.9937,0.159,0.684,0.157,0.0258,0.222,0.72,0.058,0.9226,0.0,1.0,0.0,0.0,0.147,0.803,0.051,0.9821,0.193,0.726,0.081,0.9681,0.072,0.782,0.146,-0.9578,0.19,0.443,0.367,-0.4226,0.192,0.757,0.051,0.9996,0.282,0.613,0.105,0.9535,0.186,0.722,0.092,0.7389,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 39,Back from Vacation,Justin Spitzer, Julian Farino  ,8.6,3702,0.104,0.823,0.073,0.8933,0.151,0.792,0.057,0.9632,0.171,0.778,0.052,0.9898,0.167,0.724,0.109,0.6715,0.059,0.812,0.13,-0.5803,0.236,0.744,0.021,0.9474,0.269,0.731,0.0,0.957,0.0,0.0,0.0,0.0,0.175,0.771,0.053,0.894,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.139,0.806,0.056,0.4574,0.172,0.778,0.05,0.9996,0.18,0.743,0.077,0.4871,0.139,0.861,0.0,0.8481,0.259,0.741,0.0,0.9104,0.0,0.0,0.0,0.0
Episode 40,Traveling Salesmen,"Michael Schur, Lee Eisenberg, and Gene Stupnitsky", Greg Daniels  ,8.6,3749,0.222,0.666,0.112,0.9863,0.125,0.833,0.042,0.9754,0.21,0.79,0.0,0.9811,0.205,0.795,0.0,0.8767,0.272,0.69,0.038,0.9896,0.266,0.682,0.052,0.9547,0.256,0.725,0.019,0.9541,0.0,0.0,0.0,0.0,0.14,0.805,0.055,0.9899,0.177,0.731,0.092,0.6199,0.123,0.877,0.0,0.2732,0.0,0.0,0.0,0.0,0.1,0.817,0.083,-0.3179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
